,title,uploader,time,clicker
64,유니온 바인딩+BTM 데크 팝니다!!!,dbwodls12,2018.09.11.,24
65,비티엠데크+유니온바인딩 팝니다.(여성보드입문자추천),dbwodls12,2018.09.11.,37
66,비티엠데크+유니온바인딩 팝니다!,dbwodls12,2018.09.11.,29
67,테크나인 데크 판매합니다/ 149cmm / 11만원,Psychedelist,2018.09.10.,46
68,프로젝트 WR데크 153 및 바인딩 및 어반어스데님바지등 세트판매합니다.,중고킹왕짱,2018.09.10.,94
69,F2 16/17 카본163 데크 판매합니다,에드윈,2018.09.10.,126
70,1516 캐피타 버즈오브페더 데크 판매,덕이,2018.09.10.,153
71,1718 버튼 커스텀 데크 156제네시스 바인딩M 이온 265사이즈 일괄시 100만원 핀매합니다.,으카카,2018.09.10.,144
72,스노우보드 데크+커버 판매!!(154/160),도모다찌상,2018.09.10.,244
73,"ENO 데크, 플럭스 DS 리미티드 에디션(검은색, 갈색)",현하래요,2018.09.10.,109
74,보드 데크(158센티) +보드백 싸게 가져가세요,쿨박스,2018.09.10.,93
75,"나이트로 판테라 데크 160 판매합니다. (바인딩, 가방 포함)",hyeonk0625,2018.09.10.,150
76,"17-18 eno on 152 판매합니다 ,여서용 헤머해드데크",misingnet,2018.09.10.,67
77,"불용품 판매 합니다. 키 160 에 여성 또는 남자아이 용 데크 바인딩 S, 부츠 US 5",단비되어,2018.09.10.,62
78,154 아토믹 데크 바인딩 팝니다.,조트랙,2018.09.10.,53
79,"불용품 팝니다. 데크 - 157 산타크루즈, 부츠 아디다스 US 9(부츠판매완료), 바인딩 FLOW 5SE M, 부츠 32 팀투 US 9",단비되어,2018.09.10.,125
80,절충가능)노미스 리미티드 에디션 156 데크(한정판),rinadf,2018.09.10.,54
81,♥신규스티커 업데이트 완료 ★스노우보드스티커★ 데크스티커★ 헬멧스티커★주문제작 스티커 판매합니다~ 180여종의 디자인.. 개인 소량 주문제작도 가능합니다~,Snowmate,2018.09.10.,42
82,스노우보드 데크+부츠+바인딩,꼰님양,2018.09.10.,229
83,여자데크 여성용 막데크 입문용 니키타데크! 여친입문용,jjao22,2018.09.10.,48
84,1718 FLOW BLACKOUT STD BOARD - 159 (플로우 블랙아웃 STD 스노우보드 데크),떼굴이,2018.09.10.,140
85,"[[삽니다]]158~162 올라운드 데크 삽니다. 살로몬 오피셜, 캐피타 도아, 롬 에이전트 등등",lmk403,2018.09.10.,60
86,"남자 입문용 보드세트 판매합니다. (스노우보드 데크, 바인딩, 부츠)",알면다침,2018.09.10.,203
87,"여자 입문용 막보드세트 판매합니다.(보드데크,바인딩,부츠,스노우보드)",알면다침,2018.09.10.,111
88,011 데크 바인딩 급처분!!!!!,THesse,2018.09.10.,201
89,여성용데크 1516 존스 디스커버리 145 데크 팔아요,Dgksksk,2018.09.10.,46
90,(새것) 데크팝니다 23만원,라니아,2018.09.10.,126
91,"입문용 알파인 데크 (옥시겐 178, 프라이어 169)",쌍쌍바쵸,2018.09.09.,46
92,"Nitro 데크와 symbio, salomon 신발 팝니다!",RappeR,2018.09.09.,38
93,아버웨스트마크데크149 유니온바인딩 셋트 팝니다,tkdgus8516,2018.09.09.,83
94,데크 바인딩 부츠까지 4만원에 팝니다.,고고통닭,2018.09.09.,109
95,살로몬 데크+바인딩세트 / 부츠와 가방까지 풀세트 팝니다,kylie쌤,2018.09.09.,105
96,립텍 바나나 데크팝니다~,띠용용용,2018.09.08.,82
97,"여성 보드 풀세트( 데크146,바인딩,부츠240 실사용 2회 물건(작년) 팝니다. 강남 지역 근처~ 송파 양재",rmfovlrzkemvkqslek,2018.09.08.,98
98,"2005년식 버튼 언잉크 158 데크, 드레이크 SUPER S 바인딩, 보아부츠 270mm일괄 판매합니다.",아빠같이가,2018.09.08.,120
99,여성용보드세트 써리투부츠 유니온바인딩 라이드데크 /가격내림,민낯,2018.09.08.,65
100,"여성용 스노우보드 데크 , 바인딩 세트 판매합니다.(부츠는서비스)",1203 nabiya,2018.09.08.,137
101,입문용 데크(K2)+ 플로우바인딩 팝니다.,시리키아,2018.09.08.,60
102,k2부츠:230mm 데크:143cm ( 버튼 스노우보드:10만원 부츠:2만원 )절충X,y0921,2018.09.08.,85
103,디럭스 엠파이어 TF 부츠 / 나이트로 T1 레가시 데크 / 나이트로 제로 바인딩 판매합니다.,밍규,2018.09.07.,70
104,"여성 보드(데크, 바인딩,부츠)풀셋 팔아요",swanyon02,2018.09.07.,91
105,"데스페라도(데페)우드 or 도넥사버우드 146,151~154 데크2개 구합니다",꾸나v,2018.09.07.,91
106,보드팔아요 데크포함 20만원 에눌가능,sooho hoya,2018.09.07.,105
107,살로몬 XLT 153 데크 삽니다. 유니온 포스 바인딩 삽니다>,영웅91,2018.09.07.,44
108,롬 데크 시브 144 10만원,soop8374,2018.09.07.,53
109,버튼 최상급 데크 미스테리(MYSTERY) 155 판매..,멋쟁이,2018.09.07.,187
110,예스 잭팟 스노보드 데크 152 사이즈 새거 팝니다.,준J,2018.09.07.,58
111,웨이크보드 데크 팔아요,오렌지선키,2018.09.07.,124
112,막 데크 팝니다.,허리케인,2018.09.07.,64
113,★스노우보드스티커★ 데크스티커★ 헬멧스티커★주문제작 스티커 판매합니다~ 180여종의 디자인.. 개인 소량 주문제작도 가능합니다~,Snowmate,2018.09.07.,68
114,스노우보드데크+바인딩+데크가방 풀셋트 팝니다,nanayo83,2018.09.07.,160
115,<스노우보드데크> 살로몬 그레이스 11/12 상태 너무너무 좋습니다><,잉잉이1,2018.09.06.,89
116,"여성용 143cm 스노우보드(버튼데크,바인딩),k2부츠 230 ,보드복 팔아요",y0921,2018.09.06.,118
117,홀리데이 데크 어딕션 정캠버 로우캠버 143 스노우보드,하미,2018.09.06.,101
118,♥신규스티커 업데이트 완료 ★스노우보드스티커★ 데크스티커★ 헬멧스티커★주문제작 스티커 판매합니다~ 180여종의 디자인.. 개인 소량 주문제작도 가능합니다~,Snowmate,2018.09.06.,54
119,초보입문용데크,쿄Ol,2018.09.06.,181
120,웨이크보드하퍼라이트데크로닉스바인딩판매,제네시스쿠,2018.09.06.,146
121,살로몬XLT 데크 삽니다. 유니온 포스 바인딩도 삽니다.,영웅91,2018.09.06.,48
122,네버썸머 오닉스 136 팝니다 _ 여성 데크,학망치,2018.09.06.,51
123,(여성용) ROME scandal 146 스노우보드 데크 + BURTON 바인딩 세트 20만원 판매 (가격인하),minnas,2018.09.06.,107
124,★스노우보드스티커★ 데크스티커★ 헬멧스티커★주문제작 스티커 판매합니다~ 180여종의 디자인.. 개인 소량 주문제작도 가능합니다~,Snowmate,2018.09.06.,43
125,그레이 데크/써리투부츠 팝니다,라니아,2018.09.06.,167
126,웨이크보드 2014팍스데크 판매합니다,까만돌핀,2018.09.06.,87
127,[가격다운]Nidecker 155데크 니데커 스노우보드 니데커 데크 팝니다(가방포함),강서빡,2018.09.06.,173
128,여성용 로닉스 데크+바인딩 (faith hope love),나봉,2018.09.06.,32
129,1819 오가사카 FC-L 151 데크 양도,puzizi87,2018.09.05.,98
130,케피타 16/17 보드데크 및 아이다스부츠,자전거타는슈렉,2018.09.05.,207
131,1718 제스키무라 여성데크 138,태락혼,2018.09.05.,106
132,립텍바나나 데크 팝니다~(가방포함),띠용용용,2018.09.05.,48
133,"보드장비,보드복,여자보드복,보드헬멧,보드고글,데크,바인딩,부츠 싸게팝니다~!",여나킴ㅋ,2018.09.05.,282
134,[네고가능]155스텝차일드 데크 유니온 컨텍프로 다코부츠 팝니다,ㄱㄷ욷ㅊ,2018.09.05.,92
135,웨이크보드 하이퍼라이트 데크141 팝니다,유빠다당,2018.09.05.,106
136,"바이어리 벅 데크(시스템 바인딩), 부츠(사이즈8)",kks7398,2018.09.05.,35
137,♥신규스티커 업데이트 완료 ★스노우보드스티커★ 데크스티커★ 헬멧스티커★주문제작 스티커 판매합니다~ 180여종의 디자인.. 개인 소량 주문제작도 가능합니다~,Snowmate,2018.09.05.,47
138,(새상품)나이트로 데크 팝니다,라니아,2018.09.05.,123
139,011 엑스 플라이 스핀데크.플럭스ds바인딩팝니다.,sarangbak,2018.09.05.,161
140,"네버썸머, 그레이 데크,바인딩,부츠 팝니다.",라니아,2018.09.05.,167
141,♥신규스티커 업데이트 완료 ★스노우보드스티커★ 데크스티커★ 헬멧스티커★주문제작 스티커 판매합니다~ 180여종의 디자인.. 개인 소량 주문제작도 가능합니다~,Snowmate,2018.09.05.,34
142,스노우보드 데크+바인딩 삽니다,정진석,2018.09.05.,108
143,"[여자보드] 엔데버데크, 유니온바인딩, 써리투부츠",GwenNam,2018.09.04.,95
144,여성보드세트. 의류. 스노우보드 세트. 부츠 바인딩 데크 여성,몌롱이,2018.09.04.,224
145,★스노우보드스티커★ 데크스티커★ 헬멧스티커★주문제작 스티커 판매합니다~ 180여종의 디자인.. 개인 소량 주문제작도 가능합니다~,Snowmate,2018.09.04.,37
146,"[완전 쌉니다] 여성용 데크(147), 살로몬 바인딩 팝니다.",나문닢,2018.09.04.,113
147,데크나인(lcon) 149.5,바보,2018.09.04.,39
148,♥신규스티커 업데이트 완료 ★스노우보드스티커★ 데크스티커★ 헬멧스티커★주문제작 스티커 판매합니다~ 180여종의 디자인.. 개인 소량 주문제작도 가능합니다~,Snowmate,2018.09.04.,33
149,15/16 슬래쉬 스노우보드 데크 오로라 155,달타령,2018.09.04.,250
